"id","fname","lname","secanswer","secquestion","uname"
"0jc337ea-f637-4dbf-b1df-6cfd153b5b5m","Gary","Trump","tata","Which brand was your first car?","gtrump"
"1kc337ea-f637-4dbf-b1df-6cfd153b5b6n","Linda","Jones","cat","What is your pet animal?","ljones"
"2mc337ea-f637-4dbf-b1df-6cfd153b5b7p","Angela","Pearson","jeep","Which brand was your first car?","apearson"
"4c4ad25c-bafb-4963-a4b2-4e208d2c2e53","John","Doe","duck","What is your pet animal?","jdoe"
"4cc337ea-f637-4dbf-b1df-6cfd153b5b9e","Diane","Foe","ford","Which brand was your first car?","dfoe"
"5dc337ea-f637-4dbf-b1df-6cfd153b5b0f","Jerry","Bush","bunny","What is your pet animal?","jbush"
"6ec337ea-f637-4dbf-b1df-6cfd153b5b1g","Carl","Seinfeld","chevy","Which brand was your first car?","cseinfeld"
"7fc337ea-f637-4dbf-b1df-6cfd153b5b2h","Mike","Smith","dog","What is your pet animal?","msmith"
"8gc337ea-f637-4dbf-b1df-6cfd153b5b3j","Justin","Spears","ferrari","Which brand was your first car?","jspears"
"9hc337ea-f637-4dbf-b1df-6cfd153b5b4k","Britney","Carter","spider","What is your pet animal?","bcarter"
